atID,wthp6,wtlp6,wthp5,wtlp5,wtal,wtfe,s1hp6,s1lp6,s1hp5,s1lp5,s1al,s1fe
AT5G38910,0.15262,0.0163,0.0,0.02424,30.40867,20.08663,0.05128,0.0502,0.33858,0.11883,28.11062,7.36715
AT5G36970,0.07631,0.13807,0.11472,0.07052,0.57736,4.26888,0.13389,0.0502,0.25276,0.18809,16.90695,5.23505
AT4G37770,0.02544,0.11314,0.12789,0.191,0.81206,0.14054,0.02753,0.08725,0.05487,0.37278,2.79286,0.15562
AT1G51330,0.0,0.0,0.0,0.07273,1.14209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G17860,0.0255,0.0163,0.07442,0.19174,2.30052,0.93234,0.10824,0.0,0.0,0.0,0.32787,0.05603
AT5G07572,0.0255,0.0489,0.0,0.16971,2.23921,0.11686,0.10256,0.0,0.0,0.0,0.07148,0.05603
AT5G07570,0.05094,0.22724,0.62089,1.85427,14.34267,0.86438,0.02753,0.0,0.0,0.02309,0.02295,0.0
AT5G52390,0.0255,0.06088,0.61313,0.70886,1.50724,2.72752,0.41594,0.16793,0.43196,0.79937,19.21896,0.7594
AT2G26695,0.0255,0.0489,0.04728,0.26669,1.26791,1.00492,0.0,0.0,0.0286,0.02394,0.0,0.04356
AT2G27120,0.15269,0.0326,0.19533,0.0955,2.22843,0.0,0.07882,0.15598,0.10507,0.02394,0.0459,0.07157
AT2G30770,0.0255,0.0,0.06046,0.0,7.99127,28.07744,0.16521,0.0,0.0,0.04617,30.24211,14.04888
AT4G28811,1.78067,3.51832,1.00153,1.63829,2.42911,0.16525,0.36087,0.21155,0.68527,0.83535,0.16987,0.0
AT4G15100,0.0255,0.0326,0.02713,0.0,0.0,0.42112,0.10446,0.06215,0.11442,0.02309,0.09575,3.84987
AT3G54520,0.10181,0.15437,0.13487,0.33869,1.12777,0.18585,0.15763,0.16793,0.19556,1.96574,1.29726,0.37965
AT3G51895,0.07637,0.27517,0.12091,0.31075,4.51169,1.35038,0.10824,0.09262,0.21948,0.09574,0.19018,0.36411
AT4G21650,0.10187,0.39694,0.07442,0.31296,0.82562,1.84357,0.43109,0.28685,0.34614,0.2385,2.44811,2.90343
AT4G11470,0.10187,0.0978,0.08759,0.11975,0.16817,0.93029,0.26588,0.1745,0.18854,0.14022,0.89183,0.4046
AT2G05530,1.01762,1.03311,0.10853,0.3857,0.61694,1.38895,0.54415,0.6705,0.13835,0.11883,0.04854,0.1867
AT4G37290,0.0765,0.0163,0.33099,0.18952,0.45416,2.57773,0.26777,0.0502,0.24575,0.28128,17.91799,3.10929
AT5G67060,0.12743,0.15437,0.61932,0.54802,0.93341,4.12776,0.37602,0.61613,0.52712,1.35514,0.91741,3.8966
AT3G28540,0.15287,0.07287,0.2434,0.14177,1.59718,0.44326,0.36844,0.25638,0.50553,0.23596,7.92568,1.04252
AT3G03776,0.48362,0.86341,0.78211,0.35997,0.34712,0.46797,0.26588,0.99561,0.36774,0.33255,0.61117,0.54151
AT3G46240,0.86524,1.49815,0.78211,0.4775,1.18521,0.4,0.02564,1.06017,0.0,0.07181,0.0,0.0
AT1G15830,0.25474,0.26847,0.20231,0.28946,2.88773,0.3511,0.05318,0.31733,0.19556,0.21032,0.23872,0.31431
AT3G52720,0.17843,0.0489,0.14107,0.31296,1.86236,0.14106,0.13389,0.13745,0.10507,0.32915,0.48983,0.23026
AT5G50140,0.8653,0.70904,0.08061,0.14473,0.16817,0.04685,0.51661,0.94124,0.16228,0.47107,0.85121,0.10583
AT1G18382,0.50924,0.7752,0.45967,1.03291,1.45595,1.68447,0.78249,0.47627,0.52478,0.60449,1.62961,1.21062
AT2G05580,1.06886,1.09496,0.84955,0.57744,0.48111,0.25638,0.18895,0.93466,0.44364,0.53863,0.23476,0.40777
AT4G11950,0.83999,0.28046,1.06041,0.50396,0.57105,0.70529,1.01034,1.13306,1.27895,0.72841,1.28722,0.79989
AT1G60970,0.78911,0.75794,0.986,0.54728,0.70503,0.16371,0.88024,0.31612,0.89018,1.10798,0.68661,0.60378
AT4G13420,0.40755,0.5403,0.95887,2.78356,120.025,5.34272,6.80649,2.46934,6.92945,6.49749,2.43412,2.8103
AT1G71280,0.91636,0.86341,0.95808,1.43177,1.13224,0.608,0.74825,1.48624,1.27662,1.03278,1.41912,0.71891
AT4G23250,0.38218,0.10979,0.27594,0.11975,0.44877,0.60646,0.34848,0.1255,0.22182,0.11628,1.52462,0.21166
AT2G01008,0.56024,1.29869,1.09216,0.38496,0.6214,0.72127,0.32095,0.32928,0.45589,0.23256,0.28461,0.26145
AT3G62750,0.38224,0.16204,0.71389,0.14399,0.5809,0.30323,0.63329,0.20498,0.70342,0.18724,0.18886,0.14315
AT2G45850,0.5858,0.31306,0.67978,0.42901,0.94697,0.56218,0.48047,0.77869,0.78222,0.1667,0.42494,0.32679
AT5G23155,0.86561,0.43386,0.86272,0.54876,1.21047,0.3511,0.3798,0.46015,0.90421,0.56596,0.84593,0.56329
AT4G15490,0.45867,0.23922,0.68912,0.6685,0.89122,0.84018,1.49081,1.17789,1.6911,1.69618,1.46817,3.69424
AT1G08810,0.63674,0.5959,0.78132,0.57448,0.52069,0.30426,1.10912,0.97292,0.75417,0.68564,0.21181,0.13691
AT5G40040,0.45867,0.30011,0.57282,0.263,0.38039,0.18637,0.44537,0.66513,1.07817,1.27723,0.46952,0.49171
